ChargeStartDateTime,Model,Country,SiteLocationName,Description,QuantityBase,QuantityTier1,QuantityTier2,QuantityTier3,QuantityTier4,InvoiceNumber,UnitCostBase,UnitCostTier1,UnitCostTier2,UnitCostTier3,UnitCostTier4,VAT,Total Exc. VAT,Total Inc. VAT,Status,Invoice
2024-12-30T16:27:54+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,24.9010 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-28T17:46:37+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,43.7520 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-21T11:44:04+01:00,my,DE,"Schwetzingen, Germany",CHARGING : NO_CHARGE,41.0000 kwh,N/A,N/A,N/A,N/A,,0.46/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-17T22:58:14+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,34.1940 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-16T20:14:24+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,22.1500 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-14T10:38:32+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,33.6510 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-12T23:06:59+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,37.8480 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-11T17:59:10+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,39.7760 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-07T09:44:28+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,37.6890 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-05T12:13:43+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,9.3590 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-11-30T15:29:31+01:00,my,DE,"Viernheim, Germany - Rhein-Neckar-Zentrum",CHARGING : NO_CHARGE,35.3110 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-11-28T21:20:30+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,32.4970 kwh,N/A,N/A,N/A,N/A,,0.41/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-11-23T11:05:19+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,21.0000 kwh,N/A,N/A,N/A,N/A,,0.41/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-11-22T12:29:28+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,20.0000 kwh,N/A,N/A,N/A,N/A,,0.41/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-11-17T16:20:35+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,40.0000 kwh,N/A,N/A,N/A,N/A,,0.46/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-11-16T13:32:30+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,20.0000 kwh,N/A,N/A,N/A,N/A,,0.41/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
