ChargeStartDateTime,Model,Country,SiteLocationName,Description,QuantityBase,QuantityTier1,QuantityTier2,QuantityTier3,QuantityTier4,InvoiceNumber,UnitCostBase,UnitCostTier1,UnitCostTier2,UnitCostTier3,UnitCostTier4,VAT,Total Exc. VAT,Total Inc. VAT,Status,Invoice
2025-02-15T13:25:15+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,29.1850 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-02-12T17:37:54+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,34.8240 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-02-08T09:05:48+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,47.1100 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-02-07T18:11:04+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,21.7110 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-02-06T18:01:46+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,36.5970 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-02-01T10:54:38+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,37.1440 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-30T18:31:32+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,25.3170 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-29T18:43:49+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,42.2810 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-26T11:19:47+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,39.9790 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-25T16:10:03+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,33.0340 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-23T20:13:15+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,30.4760 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-22T18:22:07+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,46.2410 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-18T10:36:48+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,27.4870 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-16T17:23:15+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,26.2590 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-13T15:55:54+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,36.7310 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-09T17:45:31+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,36.4030 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2025-01-04T12:12:36+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,23.9300 kwh,N/A,N/A,N/A,N/A,,0.44/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-30T16:27:54+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,24.9010 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-28T17:46:37+01:00,my,DE,"Hockenheim, Germany",CHARGING : NO_CHARGE,43.7520 kwh,N/A,N/A,N/A,N/A,,0.50/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
2024-12-21T11:44:04+01:00,my,DE,"Schwetzingen, Germany",CHARGING : NO_CHARGE,41.0000 kwh,N/A,N/A,N/A,N/A,,0.46/kwh,N/A,N/A,N/A,N/A,0.00,0.00,0.00,PAID,
