time,output,consumption
2024-07-12 00:00:00,0,10
2024-07-12 00:05:00,0,10
2024-07-12 00:10:00,0,10
2024-07-12 00:15:00,0,10
2024-07-12 00:20:00,0,10
2024-07-12 00:25:00,0,10
2024-07-12 00:30:00,0,10
2024-07-12 00:35:00,0,10
2024-07-12 00:40:00,0,10
2024-07-12 00:45:00,0,10
2024-07-12 00:50:00,0,10
2024-07-12 00:55:00,0,10
2024-07-12 01:00:00,0,10
2024-07-12 01:05:00,0,10
2024-07-12 01:10:00,0,10
2024-07-12 01:15:00,0,10
2024-07-12 01:20:00,0,10
2024-07-12 01:25:00,0,10
2024-07-12 01:30:00,0,10
2024-07-12 01:35:00,0,10
2024-07-12 01:40:00,0,10
2024-07-12 01:45:00,0,10
2024-07-12 01:50:00,0,10
2024-07-12 01:55:00,0,10
2024-07-12 02:00:00,0,10
2024-07-12 02:05:00,0,10
2024-07-12 02:10:00,0,10
2024-07-12 02:15:00,0,10
2024-07-12 02:20:00,0,10
2024-07-12 02:25:00,0,10
2024-07-12 02:30:00,0,10
2024-07-12 02:35:00,0,10
2024-07-12 02:40:00,0,10
2024-07-12 02:45:00,0,10
2024-07-12 02:50:00,0,10
2024-07-12 02:55:00,0,10
2024-07-12 03:00:00,0,10
2024-07-12 03:05:00,0,0
2024-07-12 03:10:00,0,0
2024-07-12 03:15:00,0,0
2024-07-12 03:20:00,0,0
2024-07-12 03:25:00,0,0
2024-07-12 03:30:00,0,0
2024-07-12 03:35:00,0,0
2024-07-12 03:40:00,0,0
2024-07-12 03:45:00,0,0
2024-07-12 03:50:00,0,0
2024-07-12 03:55:00,0,0
2024-07-12 04:00:00,0,0
2024-07-12 04:10:00,0,0
2024-07-12 04:15:00,0,0
2024-07-12 04:20:00,0,2
2024-07-12 04:25:00,0,10
2024-07-12 04:30:00,0,10
2024-07-12 04:35:00,0,10
2024-07-12 04:40:00,0,10
2024-07-12 04:45:00,0,10
2024-07-12 04:50:00,0,10
2024-07-12 04:55:00,0,10
2024-07-12 05:00:00,0,10
2024-07-12 05:05:00,0,10
2024-07-12 05:10:00,0,10
2024-07-12 05:15:00,0,10
2024-07-12 05:20:00,0,10
2024-07-12 05:25:00,0,10
2024-07-12 05:30:00,0,10
2024-07-12 05:35:00,0,10
2024-07-12 05:40:00,0,10
2024-07-12 05:45:00,0,10
2024-07-12 05:50:00,0,10
2024-07-12 05:55:00,0,10
2024-07-12 06:00:00,0,10
2024-07-12 06:05:00,0,10
2024-07-12 06:10:00,0,10
2024-07-12 06:15:00,0,10
2024-07-12 06:20:00,6,10
2024-07-12 06:25:00,45,10
2024-07-12 06:30:00,120,38
2024-07-12 06:35:00,213,150
2024-07-12 06:40:00,211,220
2024-07-12 06:45:00,289,342
2024-07-12 06:50:00,307,310
2024-07-12 06:55:00,313,322
2024-07-12 07:00:00,338,356
2024-07-12 07:05:00,396,388
2024-07-12 07:10:00,444,442
2024-07-12 07:15:00,522,516
2024-07-12 07:20:00,579,588
2024-07-12 07:25:00,679,664
2024-07-12 07:30:00,852,812
2024-07-12 07:35:00,1061,1114
2024-07-12 07:40:00,1005,1020
2024-07-12 07:45:00,1091,1104
2024-07-12 07:50:00,1020,1058
2024-07-12 07:55:00,1057,1074
2024-07-12 08:00:00,986,1048
2024-07-12 08:05:00,943,1082
2024-07-12 08:10:00,1094,1082
2024-07-12 08:15:00,1218,1230
2024-07-12 08:20:00,1224,1240
2024-07-12 08:25:00,1306,1300
2024-07-12 08:30:00,1522,1498
2024-07-12 08:35:00,1745,1730
2024-07-12 08:40:00,2105,2046
2024-07-12 08:45:00,2264,2218
2024-07-12 08:50:00,2190,2220
2024-07-12 08:55:00,2160,2216
2024-07-12 09:00:00,2020,2086
2024-07-12 09:05:00,2091,928
2024-07-12 09:10:00,2081,548
2024-07-12 09:15:00,2489,372
2024-07-12 09:20:00,2852,294
2024-07-12 09:25:00,2566,316
2024-07-12 09:30:00,2441,318
2024-07-12 09:35:00,2295,302
2024-07-12 09:40:00,2177,286
2024-07-12 09:45:00,2365,274
2024-07-12 09:50:00,2414,266
2024-07-12 09:55:00,2190,1454
2024-07-12 10:00:00,2565,2406
2024-07-12 10:05:00,2185,2250
2024-07-12 10:10:00,1339,442
2024-07-12 10:15:00,917,220
2024-07-12 10:20:00,647,208
2024-07-12 10:25:00,597,194
2024-07-12 10:30:00,508,202
2024-07-12 10:35:00,722,206
2024-07-12 10:40:00,1365,208
2024-07-12 10:45:00,1527,150
2024-07-12 10:50:00,1145,146
2024-07-12 10:55:00,2053,146
2024-07-12 11:00:00,2859,150
2024-07-12 11:05:00,2917,138
2024-07-12 11:10:00,2991,138
2024-07-12 11:15:00,3695,214
2024-07-12 11:20:00,3428,236
2024-07-12 11:25:00,4358,186
2024-07-12 11:30:00,4616,136
2024-07-12 11:35:00,4500,140
2024-07-12 11:40:00,4812,138
2024-07-12 11:45:00,5650,130
2024-07-12 11:50:00,5402,130
2024-07-12 11:55:00,4767,136
2024-07-12 12:00:00,4292,214
2024-07-12 12:05:00,3939,210
2024-07-12 12:10:00,3385,202
2024-07-12 12:15:00,2595,194
2024-07-12 12:20:00,2681,206
2024-07-12 12:25:00,4893,200
2024-07-12 12:30:00,3797,200
2024-07-12 12:35:00,4737,212
2024-07-12 12:40:00,5082,222
2024-07-12 12:45:00,2462,238
2024-07-12 12:50:00,1442,708
2024-07-12 12:55:00,1724,1702
2024-07-12 13:00:00,1563,1542
2024-07-12 13:05:00,1686,1874
2024-07-12 13:10:00,2868,772
2024-07-12 13:15:00,2959,146
2024-07-12 13:20:00,2272,130
2024-07-12 13:25:00,1904,192
2024-07-12 13:30:00,1909,216
2024-07-12 13:35:00,2329,200
2024-07-12 13:40:00,1938,190
2024-07-12 13:45:00,1564,190
2024-07-12 13:50:00,1591,200
2024-07-12 13:55:00,1717,216
2024-07-12 14:00:00,1628,312
2024-07-12 14:05:00,1814,390
2024-07-12 14:10:00,2933,368
2024-07-12 14:15:00,4414,362
2024-07-12 14:20:00,3087,358
2024-07-12 14:25:00,3420,346
2024-07-12 14:30:00,2922,340
2024-07-12 14:35:00,2928,340
2024-07-12 14:40:00,3975,352
2024-07-12 14:45:00,5108,746
2024-07-12 14:50:00,4919,290
2024-07-12 14:55:00,5881,1098
2024-07-12 15:00:00,3496,402
2024-07-12 15:05:00,2145,420
2024-07-12 15:10:00,2273,386
2024-07-12 15:15:00,1872,368
2024-07-12 15:20:00,1605,380
2024-07-12 15:25:00,1628,370
2024-07-12 15:30:00,1945,372
2024-07-12 15:35:00,2641,370
2024-07-12 15:40:00,2876,370
2024-07-12 15:45:00,2415,420
2024-07-12 15:50:00,2263,446
2024-07-12 15:55:00,2306,444
2024-07-12 16:00:00,2758,442
2024-07-12 16:05:00,2259,436
2024-07-12 16:10:00,3322,436
2024-07-12 16:15:00,4970,418
2024-07-12 16:20:00,4240,442
